file,line,pattern,imagePath,context
"DEVELOPMENT_GUIDE.md",750,"path","/images/1.webp","""image"": ""/images/1.webp"","
"DEVELOPMENT_GUIDE.md",751,"path","/images/1.webp","""imgList"": ""['/images/1.webp', '/images/1.webp']"""
"DEVELOPMENT_GUIDE.md",751,"path","/images/1.webp","""imgList"": ""['/images/1.webp', '/images/1.webp']"""
"DEVELOPMENT_GUIDE.md",771,"path","/images/1.webp","""image"": ""/images/1.webp"","
"DEVELOPMENT_GUIDE.md",772,"path","/images/1.webp","""imgList"": ""['/images/1.webp', '/images/1.webp']"""
"DEVELOPMENT_GUIDE.md",772,"path","/images/1.webp","""imgList"": ""['/images/1.webp', '/images/1.webp']"""
"docs/03-development/frontend/authentication/sns-code-samples/public/index.html",12,"src/href","%PUBLIC_URL%/logo192.png","<link rel=""apple-touch-icon"" href=""%PUBLIC_URL%/logo192.png"" />"
"docs/03-development/frontend/authentication/sns-code-samples/public/index.html",12,"path","%PUBLIC_URL%/logo192.png","<link rel=""apple-touch-icon"" href=""%PUBLIC_URL%/logo192.png"" />"
"docs/03-development/frontend/authentication/sns-login-guide.md",497,"src/href","https://developers.kakao.com/assets/img/about/logos/kakaolink/kakaolink_btn_medium.png","src=""https://developers.kakao.com/assets/img/about/logos/kakaolink/kakaolink_btn_medium.png"""
"docs/03-development/frontend/authentication/sns-login-guide.md",497,"path","https://developers.kakao.com/assets/img/about/logos/kakaolink/kakaolink_btn_medium.png","src=""https://developers.kakao.com/assets/img/about/logos/kakaolink/kakaolink_btn_medium.png"""
"docs/04-operations/git-repository-optimization.md",130,"path","docs/presentations/reference/1-1 메인.png","'docs/presentations/reference/1-1 메인.png' \"
"docs/04-operations/git-repository-optimization.md",303,"path","design/*.png","git lfs track ""design/*.png"""
"docs/04-operations/github-performance-analysis.md",439,"path","frontend/src/assets/brands/**/*.jpg","git lfs track ""frontend/src/assets/brands/**/*.jpg"""
"docs/04-operations/github-performance-analysis.md",440,"path","frontend/public/images/**/*.jpg","git lfs track ""frontend/public/images/**/*.jpg"""
"docs/05-guides/webp-conversion-guide.md",244,"src/href","image.jpg","<img src=""image.jpg"" alt=""Fallback"">"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",57,"import","../../assets/brands/brand_에잇세컨즈.webp","import brand8Seconds from ""../../assets/brands/brand_에잇세컨즈.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",134,"import","../../assets/brands/brand_에잇세컨즈.webp","import brand8Seconds from ""../../assets/brands/brand_에잇세컨즈.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",135,"import","../../assets/brands/brand_빈폴.webp","import brandBeanpole from ""../../assets/brands/brand_빈폴.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",136,"import","../../assets/brands/brand_비이커.webp","import brandBeaker from ""../../assets/brands/brand_비이커.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",137,"import","../../assets/brands/brand_구호.png","import brandKuho from ""../../assets/brands/brand_구호.png"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",138,"import","../../assets/brands/brand_이세이미야케.webp","import brandIsseyMiyake from ""../../assets/brands/brand_이세이미야케.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",139,"import","../../assets/brands/brand_메종키츠네.webp","import brandMaisonKitsune from ""../../assets/brands/brand_메종키츠네.webp"";"
"docs/06-changelog/migrations/2025-10-27-brand-logo.md",140,"import","../../assets/brands/brand_띠어리.png","import brandTheory from ""../../assets/brands/brand_띠어리.png"";"
